cod_ponto;sist_hidrico;localizacao;data_inicio;data_fim;municipio;id_ponto;n_ugrhi;code_muni;name_muni
BATA02800;Rio Batalha;Ponte na rodovia SP-331, no trecho que liga Reginópolis a Pirajuí, ao lado da régua DAEE 6C-001.;2001-01-01;NA;REGINOPOLIS;370;16;3542503;Reginópolis
TIPR02650;Reservatório de Promissão;No corpo central, na altura do braço do Rib. Esgotão, em Sabino;2007-01-01;NA;SABINO;1366;16;3544608;Sabino
ESGT02050;Córrego do Esgotão;Ponte na SP 381, na entrada de Sabino;2007-04-01;NA;SABINO;1358;16;3544608;Sabino
ESGT02990;Córrego do Esgotão;Na foz do braço do Rib Escotão com o Rio Tiete;2007-04-01;NA;SABINO;1359;16;3544608;Sabino
ESGT02700;Córrego do Esgotão;Córrego onde cai o efluente tratado da ETE de Sabino;2007-01-01;NA;SABINO;1368;16;3544608;Sabino
BFAR02250;Braço do Ribeirão da Fartura;No corpo Central, em frente a Prainha de Ubarana.;2020-01-01;NA;UBARANA;3341;16;3555356;Ubarana
NOVO02450;Rio Novo-Af. Pardo UGRHI 17;PONTE NA SP 255 (ROD. JOÃO MELLÃO), KM 243;2010-01-01;NA;AVARÉ;1949;17;3504503;Avaré
PIVR02700;Rio da Capivara - UGRHI 17;Na ponte da Rodovia Raposo Tavares, km 473,  em Maracaí, próximo a régua DAEE 7D-013.;2015-01-01;NA;MARACAI;2438;17;3528809;Maracaí
PADO02600;Rio Pardo - UGRHI 17;Captação de Ourinhos.;1981-01-01;NA;OURINHOS;321;17;3534708;Ourinhos
PARP02500;Rio Paranapanema;Ponte na rodovia BR-153, no município de Ourinhos.;1996-07-04;NA;OURINHOS;190;17;3534708;Ourinhos
PARI02700;Rio do Pari;Ponte na estrada de terra que liga Palmital ao distrito de Sussuí, junto a régua do DAEE 7D-006.;2015-01-01;NA;PALMITAL;2436;17;3535309;Palmital
PIVI02850;Ribeirão Capivari - UGRHI 17;Na ponte do distrito de Agissê, junto a régua do DAEE-7D-012.;2015-01-01;NA;RANCHARIA;2437;17;3542206;Rancharia
NOSG02500;Braço do Rio Novo- UGRHI 17;Ponte no Braço do Rio Novo na estrada Salto Grande/Cambará, na saída da cidade.;2020-01-01;NA;SALTO GRANDE;3338;17;3545407;Salto Grande
PADO02400;Rio Pardo - UGRHI 17;Ponte na entrada de Águas de Santa Bárbara ao lado da Nestlé, junto à régua do DAEE 6D-002.;2016-01-01;NA;ÁGUAS DE SANTA BARBARA;2513;17;3500550;Águas De Santa Bárbara
PADO02500;Rio Pardo - UGRHI 17;Ponte na rodovia ao lado da captação da SABESP, em Santa Cruz do Rio Pardo.;2001-01-01;NA;SANTA CRUZ DO RIO PARDO;565;17;3546405;Santa Cruz Do Rio Pardo
SJDO02500;Rio São José dos Dourados;Ponte na rodovia SP-463, no trecho que liga Araçatuba a Jales.;1974-10-01;NA;GENERAL SALGADO;251;18;3516903;General Salgado
SJDO02150;Rio São José dos Dourados;Na ponte da estrada de terra das 2 pontes, à jusante da ETE de Monte Aprazível.;2013-01-01;NA;MONTE APRAZIVEL;2219;18;3531407;Monte Aprazível
BPEN02400;Braço do Rib. Ponte Pensa;Ponte na rodovia dos Barrageiros (SP 595, km 101).;2013-01-01;NA;TRES FRONTEIRAS;2226;18;3554904;Três Fronteiras
ISOL02995;Reservatório de Ilha Solteira;Na barragem do reservatório de Ilha Solteira (SP 310).;2013-01-01;NA;ILHA SOLTEIRA;2227;18;3520442;Ilha Solteira
BSJD02900;Braço do Rio São José dos Dourados;Ponte na Rodovia dos Barrageiros entre os municípios de Ilha Solteira/Três Fronteiras.;2013-01-01;NA;ILHA SOLTEIRA;2221;18;3520442;Ilha Solteira
BSJD02200;Braço do Rio São José dos Dourados;Ponte na vicinal Suzanápolis /Pereira Barreto, na divisa de município.;2013-01-01;NA;SUZANÁPOLIS;2220;18;3552551;Suzanápolis
